AreaName,Number_Below_PovertyLine
Alabama,887260
Alaska,72957
Georgia,1788947
Hawaii,153944
Idaho,245177
Illinois,1801118
Indiana,978043
Iowa,373883
Kansas,381353
Kentucky,805841
Louisiana,888280
Maine,180278
Arizona,1180690
Maryland,576805
Massachusetts,748905
Michigan,1616870
Minnesota,596662
Mississippi,651545
Missouri,915972
Montana,150586
Nebraska,231115
Nevada,426337
New Hampshire,113840
Arkansas,553644
New Jersey,944847
New Mexico,429361
New York,3005943
North Carolina,1667465
North Dakota,79758
Ohio,1775836
Oklahoma,624043
Oregon,636947
Pennsylvania,1666569
Puerto Rico,1616117
California,6135142
Rhode Island,144223
South Carolina,830901
South Dakota,114907
Tennessee,1117594
Texas,4472451
Utah,351601
Vermont,69233
Virginia,921822
Washington,908512
West Virginia,323384
Colorado,653969
Wisconsin,724348
Wyoming,64995
Connecticut,366351
District of Columbia,110365
Delaware,108315
Florida,3180109
