AreaName,White_Population
Alabama,3325464
Alaska,484250
Georgia,6025691
Hawaii,357164
Idaho,1482914
Illinois,9312771
Indiana,5529201
Iowa,2820046
Kansas,2464566
Kentucky,3851591
Louisiana,2902538
Maine,1262026
Arizona,5210335
Maryland,3416107
Massachusetts,5334859
Michigan,7823875
Minnesota,4594367
Mississippi,1768174
Missouri,4995527
Montana,904977
Nebraska,1647551
Nevada,1929661
New Hampshire,1241313
Arkansas,2307849
New Jersey,6083940
New Mexico,1524911
New York,12704637
North Carolina,6839831
North Dakota,640208
Ohio,9538328
Oklahoma,2813794
Oregon,3352941
Pennsylvania,10430142
Puerto Rico,2495997
California,23747013
Rhode Island,854859
South Carolina,3210708
South Dakota,716691
Tennessee,5059894
Texas,19874610
Utah,2544735
Vermont,594443
Virginia,5695147
Washington,5434177
West Virginia,1732235
Colorado,4446095
Wisconsin,4967124
Wyoming,527763
Connecticut,2778362
District of Columbia,260325
Delaware,642623
Florida,14934702
